QUEVEDO || BZRP Music Sessions #52,227192970,204
VILLANO ANTILLANO || BZRP Music Sessions #51,112947399,188
PAULO LONDRA || BZRP Music Sessions #23,101654971,258
RESIDENTE || BZRP Music Sessions #49,122479830,519
TIAGO PZK || BZRP Music Sessions #48,141716386,167
MORAD || BZRP Music Sessions #47,56941493,178
ANUEL AA || BZRP Music Sessions #46,333843650,201
PTAZETA || BZRP Music Sessions #45,85906516,166
MHD || BZRP Music Sessions #44,24201450,179
Chucky73 || BZRP Music Sessions #43,41894551,145
Bizarrap x Duki x Nicki Nicole - YaMeFui,69592549,186
Nicky Jam || BZRP Music Sessions #41,141313748,160
Eladio Carrión || BZRP Music Sessions #40,136339130,171
Snow Tha Product || BZRP Music Sessions #39,190942745,183
L-Gante || BZRP Music Sessions #38,284994902,195
YSY A || BZRP Music Sessions #37,71073020,156
NATHY PELUSO || BZRP Music Sessions #36,333843650,176
ASAN || BZRP Music Sessions #35,34301338,161
Bizarrap, Trueno, Acru - Jugador del Año,12932140,154
KHEA || BZRP Music Sessions #34,104744408,205
SEVEN KAYNE || BZRP Music Sessions #33,39640281,143
CAZZU || BZRP Music Sessions #32,134469311,150
Zaramay || BZRP Music Sessions #31,144747007,229
HOMER EL MERO MERO || BZRP Music Sessions #30,29340576,183
C.R.O || BZRP Music Sessions #29,109634542,150
BIG SOTO || BZRP Music Sessions #28,61321510,164
BEJO || BZRP Music Sessions #27,10857234,198
LUCHO SSJ || BZRP Music Sessions #26,34060657,149
DON PATRICIO || BZRP Music Sessions #25,51562104,162
DANI || BZRP Music Sessions #24,172742819,177
LALO EBRATT || BZRP Music Sessions #22,28864730,158
NEUTRO SHORTY || BZRP Music Sessions #21,36497615,158
LOUTA || BZRP Music Sessions #20,19390691,155
ACZINO || BZRP Freestyle Sessions #8,30617183,184
POLIMA WESTCOAST || BZRP Music Sessions #19,24443143,153
JOHN C || BZRP Music Sessions #18,67853452,139
DANI || BZRP Freestyle Sessions #7,54710578,137
KINDER MALO || BZRP Music Sessions #17 || LADO B,29373780,137
KINDER MALO || BZRP Music Sessions #17 || LADO A,16396335,155
TRUENO || BZRP Music Sessions #16,128626226,161
ALEMÁN || BZRP Music Sessions #15,197149960,177
CA7RIEL || BZRP Music Sessions #14,17532928,169
NICKI NICOLE || BZRP Music Sessions #13,185966281,146
MESITA || BZRP Music Sessions #12,46892738,172
KIDDO TOTO || BZRP Music Sessions #11,75956081,166
FRIJO || BZRP Music Sessions #10,94471109,131
DILLOM || BZRP Music Sessions #9,101735828,165
ZANTO || BZRP Music Sessions #8,9493988,134
TRUENO || BZRP Freestyle Sessions #6,225430741,199
DREFQUILA || BZRP Music Sessions #7,10292056,227
KODIGO || BZRP Music Sessions #6,9359809,94
Pekeño 77 || BZRP Music Sessions #5,27302149,179
BLUNTED VATO || BZRP Music Sessions #4,15791650,112
PACO AMOROSO || BZRP Music Sessions #3,60436421,153
ECKO || BZRP Freestyle & Music Session,16912228,155
KYOTTO x Coscu - My Own (Bizarrap Remix),5439459,197
BHAVI || BZRP Music Sessions #1,16411987,176
ACRU || BZRP Freestyle Session #4,4815043,175
LIT KILLAH || BZRP Freestyle Session #3,38409056,186
SONY || BZRP Freestyle Session #2,11082809,267
KODIGO || BZRP Freestyle Session #1,11017437,214
Bizarrap x Estani - Se te da tan bien,1065375,192
DUKI x CRO - FVCK LUV (Bizarrap Remix),2619170,213
Khea - SAD 💔 (Bizarrap Remix),6796687,189
Bizarrap x Estani - Antes que sea tarde⏳(Remix),6015631,209
FMK - Perdoname (Bizarrap Remix) (ft. Coscu & Ale Zurita),41093017,177
NEO PISTÉA X DUKI - WANDA NARA (Bizarrap Remix),17782170,249
Bad Bunny - Amorfoda (XOVOX & BIZARRAP Remix),6160183,178
BUHO - Khea x Duki x Midel x Arse x Klave (Bizarrap Remix),3594935,308
Paulo - Relax (Bizarrap Remix),2031651,291
Jeeiph - Tetrix (Bizarrap Remix),645434,255
Kodigo - Escalera Real👑(Bizarrap Remix),668053,191
Bad Bunny - Soy Peor (Bizarrap Remix),752243,187
Duki x NahueMC - Ready for the Night (Bizarrap Remix),925710,231
Drefquila - A Fuego🔥(Bizarrap Remix),12018578,244
Ecko - Legend (Bizarrap Remix),704516,220
Dani - 21334 (Bizarrap Remix),2181605,220
Duki - No vendo trap (Bizarrap Remix),3608365,265
